kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,seed_mass,whole_plant_height,root_dry_mass,leaf_area_per_leaf_dry_mass,leaf_area,leaf_life_span,leaf_dry_mass_per_leaf_fresh_mass,leaf_dry_mass,leaf_fresh_mass,leaf_nitrogen_content_per_leaf_area,leaf_nitrogen_content_per_leaf_dry_mass,leaf_phosphorus_content_per_leaf_area,leaf_phosphorus_content_per_leaf_dry_mass
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Festuca,Festuca,rubra,Festuca rubra,Festuca rubra,Festuca_rubra,1,NO,Festuca rubra,Festuca rubra,0.9523182162162164,0.17227027027027028,0.14711553096908275,11.40911913381579,1285.0409920735294,4.8817473401646785,275.9013156428571,0.017020759,0.7143848896964509,0.00187,28.21047144,0.12702,2.63
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,aparine,Galium aparine,Galium aparine,Galium_aparine,1,NO,Galium aparine,Galium aparine,9.922787095238094,0.7247024166666667,0.08262153127115791,33.020758424161286,128.9423985,7.877053616302981,142.94302948571428,0.005695811,0.5424355885387436,0.002135071278268568,30.9703453,0.0917079200000001,1.9270111022878995
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Gentianaceae,Gentianaceae,Gentiana,Gentiana,andrewsii,Gentiana andrewsii,Gentiana andrewsii,Gentiana_andrewsii,1,NO,Gentiana andrewsii,Gentiana andrewsii,0.0525,0.9023878513469231,0.1441015296726617,18.81991400873483,7695.51263171636,4.957845912055352,236.63845705811553,0.20895636157517788,1.1254393291307196,0.0016688728086761897,23.393109763455293,0.10907676000000015,1.8753382525133302
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Heliopsis,Heliopsis,helianthoides,Heliopsis helianthoides,Heliopsis helianthoides,Heliopsis_helianthoides,1,NO,Heliopsis helianthoides,Heliopsis helianthoides,0.6735142473830605,1.5,0.13660360959067674,13.885239886502692,4568.894713269777,4.6763527583458115,242.35273853823497,0.1572951932777293,0.7823922158898111,0.001694822092009523,22.634984120620217,0.10557776000000019,2.05459383783047
Plantae,Tracheophyta,A,Magnoliopsida,Ericales,Balsaminaceae,Balsaminaceae,Impatiens,Impatiens,capensis,Impatiens capensis,Impatiens capensis,Impatiens_capensis,1,NO,Impatiens capensis,Impatiens capensis,5.213441376935465,0.32,0.12430581485440614,54.3,2197.63203002415,6.682538257746121,203.86723261907667,0.10524611204007961,0.8289702192804775,0.0016431599108599965,24.963765877411177,0.09329252000000009,1.637213412561456
Plantae,Tracheophyta,G,Pinopsida,Pinales,Cupressaceae,Cupressaceae,Juniperus,Juniperus,communis,Juniperus communis,Juniperus communis,Juniperus_communis,1,NO,Juniperus communis,Juniperus communis,20.033691733333335,5.36755,0.18163946859245125,6.461438969167548,8.8,23.58698428935194,509.526,0.1742078349219586,0.8515680343707219,0.0035499729553509153,18.27177858198023,0.1163648800000003,2.3367911828324908
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Lactuca,Lactuca,serriola,Lactuca serriola,Lactuca serriola,Lactuca_serriola,1,NO,Lactuca serriola,Lactuca serriola,0.4880053888888889,0.5003367954545455,0.20058345283230056,36.07127069109091,4604.812325581395,4.426277574709485,184.26086105,0.1314871826818182,1.011784740545924,0.0015998235223161881,28,0.10639000000000012,2.079560661388959
Plantae,Tracheophyta,G,Pinopsida,Pinales,Pinaceae,Pinaceae,Larix,Larix,laricina,Larix laricina,Larix laricina,Larix_laricina,1,NO,Larix laricina,Larix laricina,1.5493104,14.979344870927196,0.11408178703756403,27.827772216666663,1789.078573101677,21.657371590785022,317.8814719753087,0.2809295504818801,0.768501527273708,0.001716,13.55,0.09278584000000001,0.8
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Leersia,Leersia,oryzoides,Leersia oryzoides,Leersia oryzoides,Leersia_oryzoides,1,NO,Leersia oryzoides,Leersia oryzoides,1.1016,1.5,0.10642472522643619,14.841115789927137,2299.166553982874,4.93286943500021,294.3089356290448,0.17222219352569854,0.5625564460095837,0.0013329012998700006,20.805036353187507,0.10015736000000015,1.814069317614174
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Medicago,Medicago,sativa,Medicago sativa,Medicago sativa,Medicago_sativa,1,NO,Medicago sativa,Medicago sativa,2.3146774193548385,0.1620754716981132,0.1480022250892933,23.919016003623188,192.4059494425926,8.32537302026067,218.66666666666663,0.024325075,0.8041530416173702,0.00354,40.15639375,0.10266384000000021,2.185
