kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,Woodiness,growth_form,leaf_type,leaf_area,Nmass,LMA,plant_height,diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Gentianaceae,Gentianaceae,Gentiana,Gentiana,andrewsii,Gentiana andrewsii,Gentiana andrewsii,Gentiana_andrewsii,1,NO,Gentiana andrewsii,Gentiana andrewsii,non-woody,herbaceous non-graminoid,broadleaved,1536.91,19.857626775304606,58.13947113,0.637798506,0.0531,0.2353532445430933,0.229912978,0.2163444,0.2163444
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Heliopsis,Heliopsis,helianthoides,Heliopsis helianthoides,Heliopsis helianthoides,Heliopsis_helianthoides,1,NO,Heliopsis helianthoides,Heliopsis helianthoides,non-woody,herbaceous non-graminoid,broadleaved,2243.66,30.95,46.09060557,1.315934842,4.5667,0.20798559981902204,0.191010693,0.195959603,0.195959603
Plantae,Tracheophyta,A,Magnoliopsida,Ericales,Balsaminaceae,Balsaminaceae,Impatiens,Impatiens,capensis,Impatiens capensis,Impatiens capensis,Impatiens_capensis,1,NO,Impatiens capensis,Impatiens capensis,non-woody,herbaceous non-graminoid,broadleaved,1858.38,24.76651771,19.52264478,1.304910592,5.8343,0.18473148102328907,0.096677243,0.146528876,0.146528876
Plantae,Tracheophyta,G,Pinopsida,Pinales,Cupressaceae,Cupressaceae,Juniperus,Juniperus,communis,Juniperus communis,Juniperus communis,Juniperus_communis,1,NO,Juniperus communis,Juniperus communis,woody,shrub/tree,needleleaved,20.68,11.44467354,113.2400577,3.041436552,11.7085,0.561974324,0.4143740885272002,0.33943285293715497,0.561974324
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Lactuca,Lactuca,serriola,Lactuca serriola,Lactuca serriola,Lactuca_serriola,1,NO,Lactuca serriola,Lactuca serriola,non-woody,herbaceous non-graminoid,broadleaved,739.5,30.26382538,71.41914153,0.969767455,0.4366,0.2137442031086221,0.174083239,0.187089617,0.187089617
Plantae,Tracheophyta,G,Pinopsida,Pinales,Pinaceae,Pinaceae,Larix,Larix,laricina,Larix laricina,Larix laricina,Larix_laricina,1,NO,Larix laricina,Larix laricina,woody,tree,needleleaved,33,15.28582255,93.58054548,23.39932727,1.5223,0.559910707,0.4049789635182855,0.33091419051805016,0.559910707
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Leersia,Leersia,oryzoides,Leersia oryzoides,Leersia oryzoides,Leersia_oryzoides,1,NO,Leersia oryzoides,Leersia oryzoides,non-woody,herbaceous graminoid,broadleaved,999.6,16.4,60,1.07755185,1.1349,0.3458006550404165,0.3622191746809008,0.3196604964371636,0.3293735891141352
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Medicago,Medicago,sativa,Medicago sativa,Medicago sativa,Medicago_sativa,1,NO,Medicago sativa,Medicago sativa,non-woody,herbaceous non-graminoid,broadleaved,103.57,39.6652837,50.86218039,0.658772528,2.2701,0.21856467269975974,0.246469345,0.218206787,0.218206787
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Molluginaceae,Molluginaceae,Mollugo,Mollugo,verticillata,Mollugo verticillata,Mollugo verticillata,Mollugo_verticillata,1,NO,Mollugo verticillata,Mollugo verticillata,non-woody,herbaceous non-graminoid,broadleaved,630,22.27,49,0.1,0.0573,0.2850911742836931,0.30266584524565954,0.25723468647173464,0.2738074307810225
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Monarda,Monarda,fistulosa,Monarda fistulosa,Monarda fistulosa,Monarda_fistulosa,1,NO,Monarda fistulosa,Monarda fistulosa,non-woody,herbaceous non-graminoid,broadleaved,847.75,13.25247314,50.39269273,0.926046012,0.35,0.22754843795775997,0.245561602,0.224544279,0.224544279
