sciname_IN_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family,genus,specificEpithet,Old.status,sciname_IN_WFO
Caltha palustris,TRUE,FALSE,Caltha palustris,species,A,Ranunculaceae,Caltha,palustris,,Caltha palustris
Delphinium carolinianum,TRUE,FALSE,Delphinium carolinianum,species,A,Ranunculaceae,Delphinium,carolinianum,,Delphinium carolinianum
Aquilegia canadensis,TRUE,FALSE,Aquilegia canadensis,species,A,Ranunculaceae,Aquilegia,canadensis,,Aquilegia canadensis
Thalictrum dioicum,TRUE,FALSE,Thalictrum dioicum,species,A,Ranunculaceae,Thalictrum,dioicum,,Thalictrum dioicum
Thalictrum dasycarpum,TRUE,FALSE,Thalictrum dasycarpum,species,A,Ranunculaceae,Thalictrum,dasycarpum,,Thalictrum dasycarpum
Anemone quinquefolia,TRUE,FALSE,Anemone quinquefolia,species,A,Ranunculaceae,Anemone,quinquefolia,,Anemone quinquefolia
Anemone virginiana,TRUE,FALSE,Anemone virginiana,species,A,Ranunculaceae,Anemone,virginiana,,Anemone virginiana
Anemone cylindrica,TRUE,FALSE,Anemone cylindrica,species,A,Ranunculaceae,Anemone,cylindrica,,Anemone cylindrica
Larix laricina,TRUE,FALSE,Larix laricina,species,G,Pinaceae,Larix,laricina,,Larix laricina
Pinus strobus,TRUE,FALSE,Pinus strobus,species,G,Pinaceae,Pinus,strobus,,Pinus strobus
Pinus resinosa,TRUE,FALSE,Pinus resinosa,species,G,Pinaceae,Pinus,resinosa,,Pinus resinosa
Pinus banksiana,TRUE,FALSE,Pinus banksiana,species,G,Pinaceae,Pinus,banksiana,,Pinus banksiana
Juniperus virginiana,TRUE,FALSE,Juniperus virginiana,species,G,Cupressaceae,Juniperus,virginiana,,Juniperus virginiana
Juniperus communis,TRUE,FALSE,Juniperus communis,species,G,Cupressaceae,Juniperus,communis,,Juniperus communis
Ginkgo biloba,TRUE,FALSE,Ginkgo biloba,species,G,Ginkgoaceae,Ginkgo,biloba,,Ginkgo biloba
