sciname_NO_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family_WFO,genus_WFO,specificEpithet,Old.status,sciname_IN_WFO,tipLabel,IN_Phylogeny
Melilotus sp.,TRUE,FALSE,Melilotus,genus,A,Fabaceae,Melilotus,sp.,,Melilotus sp.,Melilotus_sp.,0
Mirabilis hirsuta,TRUE,FALSE,Mirabilis hirsuta,species,A,Nyctaginaceae,Mirabilis,hirsuta,,Mirabilis hirsuta,Mirabilis_hirsuta,0
Miscanthus giganteus,TRUE,FALSE,Miscanthus longiberbis,species,A,Poaceae,Miscanthus,longiberbis,Synonym,Miscanthus longiberbis,Miscanthus_longiberbis,0
Carex lativena,TRUE,FALSE,Carex lativena,species,A,Cyperaceae,Carex,lativena,,Carex lativena,Carex_lativena,0
Oenothera sp.,TRUE,FALSE,Oenothera,genus,A,Onagraceae,Oenothera,sp.,,Oenothera sp.,Oenothera_sp.,0
Onoclea sensibilis,TRUE,FALSE,Onoclea sensibilis,species,P,Onocleaceae,Onoclea,sensibilis,,Onoclea sensibilis,Onoclea_sensibilis,0
Osmundastrum cinnamomeum,TRUE,FALSE,Osmundastrum cinnamomeum,species,P,Osmundaceae,Osmundastrum,cinnamomeum,,Osmundastrum cinnamomeum,Osmundastrum_cinnamomeum,0
Osmunda claytoniana,TRUE,FALSE,Osmundastrum claytonianum,species,P,Osmundaceae,Osmundastrum,claytonianum,Synonym,Osmundastrum claytonianum,Osmundastrum_claytonianum,0
Osmunda regalis,TRUE,FALSE,Osmunda regalis,species,P,Osmundaceae,Osmunda,regalis,,Osmunda regalis,Osmunda_regalis,0
Oxalis sp.,TRUE,FALSE,Oxalis,genus,A,Oxalidaceae,Oxalis,sp.,,Oxalis sp.,Oxalis_sp.,0
Panicum acuminatum,TRUE,FALSE,Panicum acuminatum,species,A,Poaceae,Panicum,acuminatum,,Panicum acuminatum,Panicum_acuminatum,0
Panicum leibergii,TRUE,FALSE,Panicum leibergii,species,A,Poaceae,Panicum,leibergii,,Panicum leibergii,Panicum_leibergii,0
Panicum oligosanthes,TRUE,FALSE,Panicum oligosanthes,species,A,Poaceae,Panicum,oligosanthes,,Panicum oligosanthes,Panicum_oligosanthes,0
