kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Plantaginaceae,Plantaginaceae,Plantago,Plantago,lanceolata,Plantago lanceolata,Plantago lanceolata,Plantago_lanceolata,1
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,amphibia,Persicaria amphibia,Persicaria amphibia,Persicaria_amphibia,1
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Polygonum,thunbergii,Polygonum thunbergii,Persicaria thunbergii,Persicaria_thunbergii,1
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,hydropiper,Persicaria hydropiper,Persicaria hydropiper,Persicaria_hydropiper,1
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,maculosa,Persicaria maculosa,Persicaria maculosa,Persicaria_maculosa,1
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Populus,Populus,tremuloides,Populus tremuloides,Populus tremuloides,Populus_tremuloides,1
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Portulacaceae,Portulacaceae,Portulaca,Portulaca,oleracea,Portulaca oleracea,Portulaca oleracea,Portulaca_oleracea,1
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Malus,Malus,domestica,Malus domestica,Malus domestica,Malus_domestica,1
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rhamnaceae,Rhamnaceae,Rhamnus,Rhamnus,cathartica,Rhamnus cathartica,Rhamnus cathartica,Rhamnus_cathartica,1
Plantae,Tracheophyta,A,Magnoliopsida,Sapindales,Anacardiaceae,Anacardiaceae,Rhus,Rhus,typhina,Rhus typhina,Rhus typhina,Rhus_typhina,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Rudbeckia,Rudbeckia,hirta,Rudbeckia hirta,Rudbeckia hirta,Rudbeckia_hirta,1
Plantae,Tracheophyta,A,Liliopsida,Alismatales,Alismataceae,Alismataceae,Sagittaria,Sagittaria,latifolia,Sagittaria latifolia,Sagittaria latifolia,Sagittaria_latifolia,1
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Cenchrus,Cenchrus,americanus,Cenchrus americanus,Cenchrus americanus,Cenchrus_americanus,1
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Silene,Silene,antirrhina,Silene antirrhina,Silene antirrhina,Silene_antirrhina,1
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Maianthemum,Maianthemum,racemosum,Maianthemum racemosum,Maianthemum racemosum,Maianthemum_racemosum,1
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Maianthemum,Maianthemum,stellatum,Maianthemum stellatum,Maianthemum stellatum,Maianthemum_stellatum,1
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Solanum,Solanum,carolinense,Solanum carolinense,Solanum carolinense,Solanum_carolinense,1
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Solanum,Solanum,nigrum,Solanum nigrum,Solanum nigrum,Solanum_nigrum,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,canadensis,Solidago canadensis,Solidago canadensis,Solidago_canadensis,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,missouriensis,Solidago missouriensis,Solidago missouriensis,Solidago_missouriensis,1
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Stellaria,Stellaria,media,Stellaria media,Stellaria media,Stellaria_media,1
Plantae,Tracheophyta,A,Magnoliopsida,Dipsacales,Caprifoliaceae,Caprifoliaceae,Symphoricarpos,Symphoricarpos,occidentalis,Symphoricarpos occidentalis,Symphoricarpos occidentalis,Symphoricarpos_occidentalis,1
Plantae,Tracheophyta,A,Liliopsida,Poales,Typhaceae,Typhaceae,Typha,Typha,angustifolia,Typha angustifolia,Typha angustifolia,Typha_angustifolia,1
Plantae,Tracheophyta,A,Liliopsida,Poales,Typhaceae,Typhaceae,Typha,Typha,latifolia,Typha latifolia,Typha latifolia,Typha_latifolia,1
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Urticaceae,Urticaceae,Urtica,Urtica,dioica,Urtica dioica,Urtica dioica,Urtica_dioica,1
Plantae,Tracheophyta,A,Liliopsida,Liliales,Colchicaceae,Colchicaceae,Uvularia,Uvularia,sessilifolia,Uvularia sessilifolia,Uvularia sessilifolia,Uvularia_sessilifolia,1
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophulariaceae,Verbascum,Verbascum,thapsus,Verbascum thapsus,Verbascum thapsus,Verbascum_thapsus,1
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Verbenaceae,Verbenaceae,Verbena,Verbena,bracteata,Verbena bracteata,Verbena bracteata,Verbena_bracteata,1
