"","Species","NonGaps","removedPerGaps","removedMasking"
"Anthoxanthum_nitens","Anthoxanthum_nitens",787,FALSE,FALSE
"Houstonia_longifolia","Houstonia_longifolia",648,FALSE,FALSE
"Hypoxis_hirsuta","Hypoxis_hirsuta",665,FALSE,FALSE
"Ilex_verticillata","Ilex_verticillata",645,FALSE,FALSE
"Impatiens_capensis","Impatiens_capensis",714,FALSE,FALSE
"Iris_versicolor","Iris_versicolor",682,FALSE,FALSE
"Juncus_tenuis","Juncus_tenuis",697,FALSE,FALSE
"Juniperus_communis","Juniperus_communis",693,FALSE,FALSE
"Krigia_biflora","Krigia_biflora",641,FALSE,FALSE
"Lactuca_biennis","Lactuca_biennis",681,FALSE,FALSE
"Lactuca_canadensis","Lactuca_canadensis",659,FALSE,FALSE
"Lactuca_serriola","Lactuca_serriola",681,FALSE,FALSE
"Larix_laricina","Larix_laricina",656,FALSE,FALSE
"Lathyrus_ochroleucus","Lathyrus_ochroleucus",703,FALSE,FALSE
"Leersia_oryzoides","Leersia_oryzoides",695,FALSE,FALSE
"Lepidium_densiflorum","Lepidium_densiflorum",668,FALSE,FALSE
"Lepidium_virginicum","Lepidium_virginicum",579,FALSE,FALSE
"Digitaria_cognata","Digitaria_cognata",648,FALSE,FALSE
"Lespedeza_capitata","Lespedeza_capitata",565,FALSE,FALSE
"Liatris_aspera","Liatris_aspera",653,FALSE,FALSE
"Liatris_ligulistylis","Liatris_ligulistylis",665,FALSE,FALSE
"Liatris_pycnostachya","Liatris_pycnostachya",644,FALSE,FALSE
"Linaria_vulgaris","Linaria_vulgaris",684,FALSE,FALSE
"Lobelia_siphilitica","Lobelia_siphilitica",657,FALSE,FALSE
"Lonicera_dioica","Lonicera_dioica",715,FALSE,FALSE
"Lonicera_morrowii","Lonicera_morrowii",715,FALSE,FALSE
"Ludwigia_polycarpa","Ludwigia_polycarpa",677,FALSE,FALSE
"Lupinus_perennis","Lupinus_perennis",665,FALSE,FALSE
"Lycopus_americanus","Lycopus_americanus",674,FALSE,FALSE
"Lycopus_uniflorus","Lycopus_uniflorus",683,FALSE,FALSE
"Lysimachia_ciliata","Lysimachia_ciliata",570,FALSE,FALSE
"Lysimachia_thyrsiflora","Lysimachia_thyrsiflora",792,FALSE,FALSE
"Maianthemum_canadense","Maianthemum_canadense",633,FALSE,FALSE
"Medicago_lupulina","Medicago_lupulina",490,FALSE,FALSE
"Medicago_sativa","Medicago_sativa",684,FALSE,FALSE
"Melilotus_officinalis","Melilotus_officinalis",681,FALSE,FALSE
"Mimulus_ringens","Mimulus_ringens",656,FALSE,FALSE
"Mirabilis_albida","Mirabilis_albida",802,FALSE,FALSE
"Mirabilis_nyctaginea","Mirabilis_nyctaginea",678,FALSE,FALSE
"Mollugo_verticillata","Mollugo_verticillata",683,FALSE,FALSE
"Monarda_punctata","Monarda_punctata",682,FALSE,FALSE
"Mosla_dianthera","Mosla_dianthera",698,FALSE,FALSE
"Muhlenbergia_racemosa","Muhlenbergia_racemosa",720,FALSE,FALSE
"Nepeta_cataria","Nepeta_cataria",683,FALSE,FALSE
"Oenothera_biennis","Oenothera_biennis",642,FALSE,FALSE
"Oenothera_parviflora","Oenothera_parviflora",677,FALSE,FALSE
"Oxalis_stricta","Oxalis_stricta",492,FALSE,FALSE
"Panicum_capillare","Panicum_capillare",631,FALSE,FALSE
"Dichanthelium_acuminatum","Dichanthelium_acuminatum",964,FALSE,FALSE
"Panicum_miliaceum","Panicum_miliaceum",631,FALSE,FALSE
"Dichanthelium_oligosanthes","Dichanthelium_oligosanthes",624,FALSE,FALSE
"Parietaria_pensylvanica","Parietaria_pensylvanica",683,FALSE,FALSE
"Parthenocissus_inserta","Parthenocissus_inserta",653,FALSE,FALSE
"Parthenocissus_quinquefolia","Parthenocissus_quinquefolia",647,FALSE,FALSE
"Paspalum_setaceum","Paspalum_setaceum",624,FALSE,FALSE
"Pedicularis_canadensis","Pedicularis_canadensis",581,FALSE,FALSE
"Penstemon_digitalis","Penstemon_digitalis",685,FALSE,FALSE
"Penstemon_grandiflorus","Penstemon_grandiflorus",665,FALSE,FALSE
"Phleum_pratense","Phleum_pratense",653,FALSE,FALSE
"Phlox_paniculata","Phlox_paniculata",679,FALSE,FALSE
"Phlox_pilosa","Phlox_pilosa",665,FALSE,FALSE
"Phryma_leptostachya","Phryma_leptostachya",702,FALSE,FALSE
"Physalis_pubescens","Physalis_pubescens",707,FALSE,FALSE
"Physalis_virginiana","Physalis_virginiana",665,FALSE,FALSE
"Pilea_pumila","Pilea_pumila",679,FALSE,FALSE
"Pinus_strobus","Pinus_strobus",658,FALSE,FALSE
"Plantago_lanceolata","Plantago_lanceolata",655,FALSE,FALSE
"Poa_palustris","Poa_palustris",689,FALSE,FALSE
"Poa_pratensis","Poa_pratensis",575,FALSE,FALSE
"Polygala_polygama","Polygala_polygama",565,FALSE,FALSE
"Polygonatum_biflorum","Polygonatum_biflorum",641,FALSE,FALSE
"Persicaria_thunbergii","Persicaria_thunbergii",628,FALSE,FALSE
"Spiraea_alba","Spiraea_alba",582,FALSE,FALSE
"Fallopia_convolvulus","Fallopia_convolvulus",678,FALSE,FALSE
"Persicaria_hydropiper","Persicaria_hydropiper",678,FALSE,FALSE
"Persicaria_lapathifolia","Persicaria_lapathifolia",705,FALSE,FALSE
"Persicaria_pensylvanica","Persicaria_pensylvanica",668,FALSE,FALSE
"Persicaria_maculosa","Persicaria_maculosa",720,FALSE,FALSE
"Persicaria_sagittata","Persicaria_sagittata",677,FALSE,FALSE
"Polygonum_tenue","Polygonum_tenue",672,FALSE,FALSE
"Populus_balsamifera","Populus_balsamifera",674,FALSE,FALSE
"Populus_deltoides","Populus_deltoides",708,FALSE,FALSE
"Portulaca_oleracea","Portulaca_oleracea",738,FALSE,FALSE
"Potentilla_argentea","Potentilla_argentea",678,FALSE,FALSE
"Drymocallis_arguta","Drymocallis_arguta",678,FALSE,FALSE
"Potentilla_norvegica","Potentilla_norvegica",701,FALSE,FALSE
"Potentilla_recta","Potentilla_recta",675,FALSE,FALSE
"Potentilla_simplex","Potentilla_simplex",666,FALSE,FALSE
"Nabalus_albus","Nabalus_albus",659,FALSE,FALSE
"Nabalus_racemosus","Nabalus_racemosus",670,FALSE,FALSE
"Prunella_vulgaris","Prunella_vulgaris",690,FALSE,FALSE
"Prunus_americana","Prunus_americana",679,FALSE,FALSE
"Prunus_pensylvanica","Prunus_pensylvanica",675,FALSE,FALSE
"Prunus_pumila","Prunus_pumila",679,FALSE,FALSE
"Prunus_serotina","Prunus_serotina",612,FALSE,FALSE
"Pycnanthemum_virginianum","Pycnanthemum_virginianum",695,FALSE,FALSE
"Pyrola_rotundifolia","Pyrola_rotundifolia",677,FALSE,FALSE
"Quercus_alba","Quercus_alba",665,FALSE,FALSE
"Quercus_ellipsoidalis","Quercus_ellipsoidalis",683,FALSE,FALSE
"Quercus_macrocarpa","Quercus_macrocarpa",679,FALSE,FALSE
"Ratibida_pinnata","Ratibida_pinnata",645,FALSE,FALSE
"Frangula_alnus","Frangula_alnus",695,FALSE,FALSE
"Rhus_glabra","Rhus_glabra",645,FALSE,FALSE
"Toxicodendron_radicans","Toxicodendron_radicans",648,FALSE,FALSE
"Rhus_typhina","Rhus_typhina",676,FALSE,FALSE
"Ribes_hirtellum","Ribes_hirtellum",683,FALSE,FALSE
"Robinia_pseudoacacia","Robinia_pseudoacacia",687,FALSE,FALSE
"Rosa_arkansana","Rosa_arkansana",677,FALSE,FALSE
"Rosa_blanda","Rosa_blanda",527,FALSE,FALSE
"Rosa_carolina","Rosa_carolina",653,FALSE,FALSE
"Rubus_allegheniensis","Rubus_allegheniensis",600,FALSE,FALSE
"Rubus_canadensis","Rubus_canadensis",675,FALSE,FALSE
"Rubus_flagellaris","Rubus_flagellaris",649,FALSE,FALSE
"Rubus_idaeus","Rubus_idaeus",610,FALSE,FALSE
"Rubus_occidentalis","Rubus_occidentalis",678,FALSE,FALSE
"Rubus_pubescens","Rubus_pubescens",662,FALSE,FALSE
"Rudbeckia_hirta","Rudbeckia_hirta",669,FALSE,FALSE
"Sagittaria_latifolia","Sagittaria_latifolia",903,FALSE,FALSE
"Salix_bebbiana","Salix_bebbiana",713,FALSE,FALSE
"Salix_discolor","Salix_discolor",713,FALSE,FALSE
"Salix_petiolaris","Salix_petiolaris",778,FALSE,FALSE
"Salix_humilis","Salix_humilis",565,FALSE,FALSE
"Salix_interior","Salix_interior",713,FALSE,FALSE
"Salix_pedicellaris","Salix_pedicellaris",778,FALSE,FALSE
"Salix_pyrifolia","Salix_pyrifolia",778,FALSE,FALSE
"Salix_serissima","Salix_serissima",778,FALSE,FALSE
"Kali_turgidum","Kali_turgidum",678,FALSE,FALSE
"Schizachne_purpurascens","Schizachne_purpurascens",713,FALSE,FALSE
"Schizachyrium_scoparium","Schizachyrium_scoparium",624,FALSE,FALSE
