"","Species","NonGaps","removedPerGaps","removedMasking"
"Spiraea_alba","Spiraea_alba",549,FALSE,FALSE
"Spiraea_tomentosa","Spiraea_tomentosa",523,FALSE,FALSE
"Sporobolus_cryptandrus","Sporobolus_cryptandrus",603,FALSE,FALSE
"Sporobolus_heterolepis","Sporobolus_heterolepis",552,FALSE,FALSE
"Stachys_palustris","Stachys_palustris",549,FALSE,FALSE
"Stachys_tenuifolia","Stachys_tenuifolia",549,FALSE,FALSE
"Stellaria_longifolia","Stellaria_longifolia",549,FALSE,FALSE
"Stellaria_media","Stellaria_media",568,FALSE,FALSE
"Hesperostipa_comata","Hesperostipa_comata",603,FALSE,FALSE
"Hesperostipa_spartea","Hesperostipa_spartea",603,FALSE,FALSE
"Streptopus_lanceolatus","Streptopus_lanceolatus",552,FALSE,FALSE
"Strophostyles_leiosperma","Strophostyles_leiosperma",552,FALSE,FALSE
"Symphoricarpos_occidentalis","Symphoricarpos_occidentalis",549,FALSE,FALSE
"Thalictrum_dasycarpum","Thalictrum_dasycarpum",549,FALSE,FALSE
"Thalictrum_dioicum","Thalictrum_dioicum",553,FALSE,FALSE
"Tradescantia_bracteata","Tradescantia_bracteata",549,FALSE,FALSE
"Tradescantia_occidentalis","Tradescantia_occidentalis",552,FALSE,FALSE
"Triadenum_fraseri","Triadenum_fraseri",552,FALSE,FALSE
"Salsola_kali","Salsola_kali",607,FALSE,FALSE
"Trifolium_arvense","Trifolium_arvense",549,FALSE,FALSE
"Trifolium_hybridum","Trifolium_hybridum",549,FALSE,FALSE
"Trifolium_pratense","Trifolium_pratense",576,FALSE,FALSE
"Trifolium_repens","Trifolium_repens",525,FALSE,FALSE
"Typha_latifolia","Typha_latifolia",561,FALSE,FALSE
"Ulmus_americana","Ulmus_americana",552,FALSE,FALSE
"Urtica_dioica","Urtica_dioica",553,FALSE,FALSE
"Uvularia_sessilifolia","Uvularia_sessilifolia",552,FALSE,FALSE
"Vaccinium_angustifolium","Vaccinium_angustifolium",551,FALSE,FALSE
"Vaccinium_myrtilloides","Vaccinium_myrtilloides",552,FALSE,FALSE
"Verbascum_thapsus","Verbascum_thapsus",531,FALSE,FALSE
"Verbena_bracteata","Verbena_bracteata",552,FALSE,FALSE
"Verbena_hastata","Verbena_hastata",551,FALSE,FALSE
"Verbena_stricta","Verbena_stricta",607,FALSE,FALSE
"Vernonia_fasciculata","Vernonia_fasciculata",553,FALSE,FALSE
"Veronicastrum_virginicum","Veronicastrum_virginicum",552,FALSE,FALSE
"Viburnum_lentago","Viburnum_lentago",604,FALSE,FALSE
"Vicia_sativa","Vicia_sativa",542,FALSE,FALSE
"Vicia_villosa","Vicia_villosa",542,FALSE,FALSE
"Viola_macloskeyi","Viola_macloskeyi",552,FALSE,FALSE
"Viola_palustris","Viola_palustris",552,FALSE,FALSE
