"","Species","NonGaps","removedPerGaps","removedMasking"
"Thalictrum_dioicum","Thalictrum_dioicum",511,FALSE,FALSE
"Trifolium_arvense","Trifolium_arvense",295,FALSE,FALSE
"Trifolium_hybridum","Trifolium_hybridum",359,FALSE,FALSE
"Trifolium_pratense","Trifolium_pratense",351,FALSE,FALSE
"Trifolium_repens","Trifolium_repens",357,FALSE,FALSE
"Typha_angustifolia","Typha_angustifolia",364,FALSE,FALSE
"Typha_latifolia","Typha_latifolia",364,FALSE,FALSE
"Ulmus_americana","Ulmus_americana",491,FALSE,FALSE
"Ulmus_pumila","Ulmus_pumila",355,FALSE,FALSE
"Verbascum_thapsus","Verbascum_thapsus",305,FALSE,FALSE
"Verbena_bracteata","Verbena_bracteata",495,FALSE,FALSE
"Vernonia_fasciculata","Vernonia_fasciculata",503,FALSE,FALSE
"Veronicastrum_virginicum","Veronicastrum_virginicum",472,FALSE,FALSE
"Vicia_sativa","Vicia_sativa",224,FALSE,FALSE
"Vicia_villosa","Vicia_villosa",357,FALSE,FALSE
"Viola_palustris","Viola_palustris",341,FALSE,FALSE
"Viola_pedata","Viola_pedata",506,FALSE,FALSE
"Viola_sagittata","Viola_sagittata",506,FALSE,FALSE
"Viola_selkirkii","Viola_selkirkii",539,FALSE,FALSE
"Vitis_vulpina","Vitis_vulpina",426,FALSE,FALSE
"Zanthoxylum_americanum","Zanthoxylum_americanum",172,FALSE,FALSE
"Artemisia_campestris","Artemisia_campestris",519,FALSE,FALSE
"Cirsium_altissimum","Cirsium_altissimum",409,FALSE,FALSE
"Erigeron_philadelphicus","Erigeron_philadelphicus",516,FALSE,FALSE
"Hackelia_virginiana","Hackelia_virginiana",503,FALSE,FALSE
"Melilotus_albus","Melilotus_albus",198,FALSE,FALSE
"Comandra_umbellata","Comandra_umbellata",241,FALSE,FALSE
"Hylodesmum_glutinosum","Hylodesmum_glutinosum",486,FALSE,FALSE
"Plantago_patagonica","Plantago_patagonica",395,FALSE,FALSE
"Taraxacum_officinale","Taraxacum_officinale",330,FALSE,FALSE
"Vitis_riparia","Vitis_riparia",421,FALSE,FALSE
