plant_id,species,genus,family,order,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
427,Antennaria neglecta,Antennaria,Asteraceae,Asterales,0.0975,0.0974,0.0981,0.0955,0.0974,0.4725,0.7303,0.8047,0.5384
428,Antennaria parlinii,Antennaria,Asteraceae,Asterales,0.5862,0.6263,0.5916,0.4435,0.0961,0.5457,0.8213,0.8929,0.5973
429,Solidago missouriensis,Solidago,Asteraceae,Asterales,0.0971,0.0953,0.0961,0.0956,0.0949,0.4345,0.6109,0.6678,0.4495
430,Heterotheca villosa,Heterotheca,Asteraceae,Asterales,0.0986,0.099,0.6736,0.0962,0.0954,0.0891,0.3254,0.2613,0.0936
431,Symphyotrichum boreale,Symphyotrichum,Asteraceae,Asterales,0.5957,0.5837,0.5968,0.4525,0.4643,0.5182,0.7025,0.7711,0.5197
432,Erigeron canadensis,Erigeron,Asteraceae,Asterales,0.0969,0.0989,0.0962,0.094,0.0957,0.2566,0.0863,0.0863,0.0784
433,Erigeron annuus,Erigeron,Asteraceae,Asterales,0.0973,0.0971,0.0968,0.0936,0.0963,0.2764,0.0873,0.0836,0.0785
434,Erigeron strigosus,Erigeron,Asteraceae,Asterales,0.0944,0.0986,0.1003,0.3955,0.0943,0.0937,0.2774,0.2334,0.0925
435,Doellingeria umbellata,Doellingeria,Asteraceae,Asterales,0.0959,0.0966,0.0973,0.0963,0.099,0.2981,0.2237,0.0914,0.0788
436,Euthamia graminifolia,Euthamia,Asteraceae,Asterales,0.0972,0.6487,0.0963,0.0945,0.0959,0.3066,0.0862,0.0857,0.0771
437,Symphyotrichum puniceum,Symphyotrichum,Asteraceae,Asterales,0.0978,0.5426,0.0982,0.0949,0.0975,0.3048,0.0869,0.0838,0.0771
438,Symphyotrichum oolentangiense,Symphyotrichum,Asteraceae,Asterales,0.0968,0.0965,0.0986,0.418,0.0965,0.4689,0.6309,0.6959,0.4762
439,Symphyotrichum lanceolatum,Symphyotrichum,Asteraceae,Asterales,0.098,0.0968,0.0969,0.3921,0.0966,0.3103,0.0867,0.0847,0.0771
440,Symphyotrichum ericoides,Symphyotrichum,Asteraceae,Asterales,0.0947,0.0977,0.0956,0.0956,0.0967,0.3024,0.086,0.0825,0.0777
441,Eurybia macrophylla,Eurybia,Asteraceae,Asterales,0.0974,0.0972,0.096,0.0945,0.0952,0.4846,0.7564,0.8291,0.5524
442,Solidago gigantea,Solidago,Asteraceae,Asterales,0.0971,0.0967,0.0972,0.3811,0.0957,0.2989,0.087,0.082,0.0781
443,Solidago altissima,Solidago,Asteraceae,Asterales,0.0959,0.5761,0.0979,0.0975,0.4535,0.4454,0.6247,0.6809,0.4548
444,Solidago rigida,Solidago,Asteraceae,Asterales,0.0957,0.0981,0.095,0.0948,0.0954,0.3087,0.0881,0.0832,0.0777
445,Solidago ptarmicoides,Solidago,Asteraceae,Asterales,0.5364,0.5966,0.5944,0.0966,0.0959,0.4852,0.6798,0.74,0.4889
446,Solidago canadensis,Solidago,Asteraceae,Asterales,0.0942,0.0958,0.098,0.095,0.096,0.292,0.0853,0.0837,0.0756
447,Solidago nemoralis,Solidago,Asteraceae,Asterales,0.0974,0.0959,0.0961,0.0924,0.0973,0.2974,0.1969,0.0881,0.0784
448,Solidago speciosa,Solidago,Asteraceae,Asterales,0.5775,0.5908,0.5781,0.436,0.0966,0.5161,0.7079,0.7669,0.5172
449,Solidago juncea,Solidago,Asteraceae,Asterales,0.0976,0.5648,0.0952,0.0946,0.0961,0.3024,0.1981,0.0905,0.0763
