"","species_names","kingdom","phylum","class","order","family","genus","species","originalSpeciesName","atpB.fasta","matK.fasta","ndhF.fasta","rbcL.fasta","trnL.fasta"
"97","Chamaedaphne_calyculata","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Chamaedaphne","Chamaedaphne calyculata","Chamaedaphne_calyculata",0,1,0,1,1
"98","Chamaenerion_angustifolium","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Chamaenerion","Chamaenerion angustifolium","Chamaenerion_angustifolium",0,1,0,1,0
"99","Chenopodiastrum_hybridum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodiastrum","Chenopodiastrum hybridum","Chenopodiastrum_hybridum",0,1,0,1,0
"100","Chenopodium_album","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodium","Chenopodium album","Chenopodium_album",0,1,0,1,0
"101","Chenopodium_leptophyllum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Chenopodium","Chenopodium leptophyllum","Chenopodium_leptophyllum",0,1,0,1,1
"102","Cicuta_bulbifera","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Cicuta","Cicuta bulbifera","Cicuta_bulbifera",0,1,0,1,0
"103","Circaea_lutetiana","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Circaea","Circaea lutetiana","Circaea_lutetiana",0,1,0,1,1
"104","Cirsium_arvense","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium arvense","Cirsium_arvense",0,1,0,1,1
"105","Cirsium_discolor","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium discolor","Cirsium_discolor",0,1,0,1,0
"106","Comandra_umbellata","Plantae","Tracheophyta","Magnoliopsida","Santalales","Comandraceae","Comandra","Comandra umbellata","Comandra_umbellata",1,1,1,1,1
"107","Comandra_umbellata","Plantae","Tracheophyta","Magnoliopsida","Santalales","Comandraceae","Comandra","Comandra umbellata","Comandra_pallida",1,1,1,1,1
"108","Comarum_palustre","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Comarum","Comarum palustre","Comarum_palustre",0,0,1,1,1
"109","Convolvulus_arvensis","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Convolvulus","Convolvulus arvensis","Convolvulus_arvensis",1,1,1,1,1
"110","Coreopsis_palmata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Coreopsis","Coreopsis palmata","Coreopsis_palmata",0,0,0,1,1
"111","Cornus_alternifolia","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","Cornus alternifolia","Cornus_alternifolia",1,1,1,1,1
"112","Cornus_racemosa","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","Cornus racemosa","Cornus_racemosa",1,0,1,0,0
"113","Cornus_sericea","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","Cornus sericea","Cornus_sericea",1,1,1,1,1
