"","MRCA","MaxAge","MinAge","taxonA","taxonB"
"228","f3e0f8cbc8e8fd981530005a4912e565",25.7528480000001,25.7528480000001,"Oenothera_parviflora","Epilobium_leptophyllum"
"231","65fdc2f3567bede08e2b8bc4db6cc7e3",9.14795400000014,9.14795400000014,"Epilobium_leptophyllum","Epilobium_ciliatum"
"232","b5bcab454cb58131bbf78ad55ad98d74",104.258061,104.258061,"Zanthoxylum_americanum","Lechea_stricta"
"234","dfe22749ba441b92d5c33a4d539a4dde",79.9183430000002,79.9183430000002,"Acer_rubrum","Toxicodendron_radicans"
"235","fb012790df77d8904036b03d73bf3a99",13.3312610000002,13.3312610000002,"Acer_rubrum","Acer_negundo"
"236","e5e98bf6a5e19c309692357a1f76fbaf",19.4802040000002,19.4802040000002,"Toxicodendron_radicans","Rhus_glabra"
"237","742c29ca6e77bba671033725bec4d23b",1.02231400000022,1.02231400000022,"Rhus_glabra","Rhus_typhina"
"240","52375e5b52bd52bf3ed641912c8a0043",27.4491669997001,27.4491669997001,"Sisymbrium_altissimum","Berteroa_incana"
"246","ca4c6aab7a5a571350ff2ed09bdf0387",4.96759099970012,4.96759099970012,"Lepidium_virginicum","Lepidium_densiflorum"
"259","df3b0e1496fafa038c7ad21991d8589e",1.08322000000004,1.08322000000004,"Chenopodium_leptophyllum","Chenopodium_album"
"261","e7c292458499f1ff6f57ca09a7b2811e",82.9554410000001,82.9554410000001,"Mirabilis_albida","Portulaca_oleracea"
"263","30a87b44287fbb647a87fcefe9849485",73.1087900000001,73.1087900000001,"Portulaca_oleracea","Mollugo_verticillata"
"264","48278731c304a42b6a389db3d3a2910d",50.8198340000001,50.8198340000001,"Silene_latifolia","Moehringia_lateriflora"
"269","e190a8d1067665b08196c58e3b3e8703",23.9477340000001,23.9477340000001,"Cornus_sericea","Cornus_alternifolia"
"270","9bc1ad0fad4353c97c878ad762c517e9",18.1020090000001,18.1020090000001,"Cornus_sericea","Cornus_racemosa"
"274","91ea5ac17338f2be082d4cd99cae20eb",46.1435180000001,46.1435180000001,"Pyrola_rotundifolia","Chamaedaphne_calyculata"
"278","95d778cba923609cc8265e4d5ffe55e0",0.751100000000235,0.751100000000235,"Phlox_pilosa","Phlox_paniculata"
"288","b3c7fc115e4fe210c7a9fb094fb13cc8",4.80367700000005,4.80367700000005,"Fallopia_convolvulus","Fallopia_scandens"
"290","4942b7074e8cdf8e7e59b78d4de9f5f7",18.0509780000001,18.0509780000001,"Persicaria_thunbergii","Persicaria_amphibia"
"292","c759c999a2f4555518c92c03a4c5743b",7.91588600000011,7.91588600000011,"Persicaria_amphibia","Persicaria_lapathifolia"
"297","1df4a429537928628d06dc3649929080",89.7510700000001,89.7510700000001,"Gentiana_andrewsii","Fraxinus_nigra"
"298","73e92a85bee5108fed7ac69a67a0befc",85.9131390000001,85.9131390000001,"Gentiana_andrewsii","Convolvulus_arvensis"
"300","92dc771fe4b2b05f435aebd8d0b69770",67.7278650000001,67.7278650000001,"Houstonia_longifolia","Apocynum_androsaemifolium"
"301","4feddb3ae6ebd8c98cd0831f80571190",22.1378540000001,22.1378540000001,"Houstonia_longifolia","Galium_obtusum"
"302","ff3b7eaceea052e6a8d7c7cb3a4e0dfc",6.40221299999996,6.40221299999996,"Galium_obtusum","Galium_concinnum"
"307","d4747cf45f68188bcb46102601a9eeff",21.8944610000001,21.8944610000001,"Apocynum_androsaemifolium","Asclepias_verticillata"
"308","2f3ddc08ade205f114671f50e3c8650c",5.59383200000019,5.59383200000019,"Apocynum_androsaemifolium","Apocynum_cannabinum"
"309","a5a56d58a9bd72d21cbef7fe5f0f6bfb",3.00268300000016,3.00268300000016,"Asclepias_verticillata","Asclepias_viridiflora"
"313","16c8776b6ce3558dadead5fab69df1a3",1.82452300000023,1.82452300000023,"Asclepias_syriaca","Asclepias_tuberosa"
"315","adf6aca36a277d4084e56bd30999be68",66.6498270000001,66.6498270000001,"Convolvulus_arvensis","Physalis_virginiana"
"316","d802839e364e7eef16d849b7161d8df6",18.3964590000002,18.3964590000002,"Physalis_virginiana","Solanum_carolinense"
"317","f73ebd23728fc91aed01e8d11a663732",4.97110700000007,4.97110700000007,"Physalis_virginiana","Physalis_heterophylla"
"318","653fd98b9395d453259e004ba9e05c1f",1.89235000000008,1.89235000000008,"Physalis_heterophylla","Physalis_pubescens"
"319","790d35918f236860f0fa7114badfd7b5",12.5141390000001,12.5141390000001,"Solanum_carolinense","Solanum_dulcamara"
"320","a07e1df3c6f505ac76db7732bd391125",9.77761900000007,9.77761900000007,"Solanum_dulcamara","Solanum_americanum"
"322","10526dcfbe0b980c6bafd3eb0f342064",88.2477790000002,88.2477790000002,"Fraxinus_nigra","Lithospermum_carolinense"
"323","39b1bed695c8a7c9a3e8734f78bf2388",71.0206110000001,71.0206110000001,"Fraxinus_nigra","Penstemon_digitalis"
"324","20fcbaf4ff890423f981681af2bcd998",8.04537300000015,8.04537300000015,"Fraxinus_nigra","Fraxinus_americana"
"325","95618172b65d481fc3f0601c3acc6709",1.64328100000017,1.64328100000017,"Fraxinus_americana","Fraxinus_pennsylvanica"
"326","bf9aef57f65d8284f52644e950654323",58.0988320000002,58.0988320000002,"Penstemon_digitalis","Verbena_hastata"
"327","c23ccad2c2dd9a2aec6c312bb91aec35",45.1591180000002,45.1591180000002,"Penstemon_digitalis","Plantago_major"
"328","654dc9cd94ce7e735621edd7c604a42d",1.75768400000015,1.75768400000015,"Penstemon_digitalis","Penstemon_gracilis"
"329","b70a1b82156bade61979eac6548bf9dd",41.3641900000002,41.3641900000002,"Plantago_major","Linaria_vulgaris"
"330","6a5eb60f2afac921f50c471544fa1d3b",30.5333890000001,30.5333890000001,"Plantago_major","Veronicastrum_virginicum"
"331","3dd7ab91193c458e10a7abc3521e83ee",16.6085870000001,16.6085870000001,"Plantago_major","Plantago_lanceolata"
"332","aa60e122a2d058255edd91a0c4642c3b",12.6629800000001,12.6629800000001,"Plantago_lanceolata","Plantago_patagonica"
"335","37348a5c701d5d6ff19bd42a14a1dd94",1.51701800000023,1.51701800000023,"Verbena_hastata","Verbena_stricta"
"338","a4158d1a310a654d4dd67b3cad0256e7",34.2804200000002,34.2804200000002,"Mosla_dianthera","Scutellaria_lateriflora"
"339","f0a119166f58e32e82f3cb64b8d3d8a3",25.3577540000002,25.3577540000002,"Mosla_dianthera","Lycopus_americanus"
"340","7549915e976a5ec3c3fc338087d5f4e5",17.1503810000002,17.1503810000002,"Lycopus_americanus","Prunella_vulgaris"
"342","8862a3f7dc678487147a711348182020",16.5065370000002,16.5065370000002,"Prunella_vulgaris","Pycnanthemum_virginianum"
"344","fef2e6f8ab7f84afc8820ce70e0529f9",1.08916600000015,1.08916600000015,"Pycnanthemum_virginianum","Monarda_fistulosa"
"347","1f195db7d69ec6587d1cb3133e57fef8",15.0392870000002,15.0392870000002,"Agastache_foeniculum","Nepeta_cataria"
"354","331365a4077568d753ef3c9e3929413f",33.2405540000002,33.2405540000002,"Mimulus_ringens","Phryma_leptostachya"
