"MRCA","MaxAge","MinAge","taxonA","taxonB","bootstrap"
"8cf32fece3378616e5cda3e4ec1aeba8",22.9894600004,22.9894600004,"Helenium_autumnale","Gnaphalium_uliginosum",1
"47d83bdf9a0b588bb0e34b87b0d43d79",18.1580080003999,18.1580080003999,"Helenium_autumnale","Bidens_trichosperma",1
"f6cd76e6b9a80605720688453461d4f1",8.94721500039992,8.94721500039992,"Helianthus_petiolaris","Echinacea_purpurea",1
"65ba6deea34c0a7541fad04683626f88",1.5284990003999,1.5284990003999,"Helianthus_petiolaris","Helianthus_giganteus",1
"068fde199aa8c8fe6a28d2b7dbc4cfe3",0.23063100039991,0.23063100039991,"Ambrosia_artemisiifolia","Ambrosia_psilostachya",1
"56b9e7331a25ee28a5557a70f8244003",5.02632400039994,5.02632400039994,"Bidens_trichosperma","Coreopsis_palmata",1
"9c19698b040de6ae0b2ed56a68bd9c27",0.418486000399923,0.418486000399923,"Bidens_trichosperma","Bidens_tripartita",1
"3fbd6fdb965ff5170196f1058e642961",0.031973000399887,0.031973000399887,"Liatris_pycnostachya","Liatris_ligulistylis",1
"3665f746f301499e0cc3a14fd36d5604",0.00247100039990755,0.00247100039990755,"Liatris_ligulistylis","Liatris_aspera",1
"af829c4cb140a61740f40b19989150d4",4.99768300039995,4.99768300039995,"Gnaphalium_uliginosum","Antennaria_neglecta",1
"9d25978451a65fd020525d0683553b9f",0.00299900039993872,0.00299900039993872,"Antennaria_neglecta","Antennaria_plantaginifolia",1
"2c6ade49b312441c36dd81ad757c40fb",21.4487790004,21.4487790004,"Erechtites_hieraciifolius","Eurybia_macrophylla",1
"a43e99a1f645a7c3dc48e4c6505ae14a",6.32827300039997,6.32827300039997,"Erechtites_hieraciifolius","Packera_paupercula",1
"a941221bf95fcc65d80ca84cabf4afd7",0.115681000400002,0.115681000400002,"Packera_paupercula","Packera_aurea",1
"f28f94583ad83d78bbc900dc2ffb9833",5.72048900039994,5.72048900039994,"Achillea_millefolium","Artemisia_campestris",1
"f8e2e54d6e5aefc181f293e0beeb6b13",1.82615900039991,1.82615900039991,"Artemisia_campestris","Artemisia_ludoviciana",1
"2f3ab5fc195cf794cf35101c097a7473",4.59680900039996,4.59680900039996,"Eurybia_macrophylla","Doellingeria_umbellata",1
"0d2444e13674b82a1dda4edf42e9f410",4.29273800039994,4.29273800039994,"Eurybia_macrophylla","Heterotheca_villosa",1
"562bda5098b49627a18f5a978d806bfb",0.301856000399937,0.301856000399937,"Solidago_missouriensis","Solidago_ptarmicoides",1
"5925d8ae0618ba691d4e00cdfa16c263",0.127821000399933,0.127821000399933,"Solidago_missouriensis","Solidago_altissima",1
"3ba7a68a725bdc57a5b8d6f0adf46f2e",2.16464900039995,2.16464900039995,"Erigeron_canadensis","Erigeron_annuus",1
"7788fb8d428277b0fa910ac4c2a6bb6c",0.40841800039999,0.40841800039999,"Erigeron_annuus","Erigeron_strigosus",1
"bc57fd20601ac2333e73cf948c53ab7a",2.11420200039998,2.11420200039998,"Cirsium_discolor","Cirsium_arvense",1
