spec.name.ORIG,Matched,Fuzzy,scientificName,taxonRank,family,genus,specificEpithet,Old.status,spec.name.new
Chrysopsis villosa,TRUE,FALSE,Heterotheca villosa,species,Asteraceae,Heterotheca,villosa,Synonym,Heterotheca villosa
Cicuta bulbifera,TRUE,FALSE,Cicuta bulbifera,species,Apiaceae,Cicuta,bulbifera,,Cicuta bulbifera
Circaea lutetiana,TRUE,FALSE,Circaea lutetiana,species,Onagraceae,Circaea,lutetiana,,Circaea lutetiana
Circaea quadrisulcata,TRUE,FALSE,Circaea lutetiana  subsp. quadrisulcata,subspecies,Onagraceae,Circaea,lutetiana,Synonym,Circaea lutetiana
Cirsium arvense,TRUE,FALSE,Cirsium arvense,species,Asteraceae,Cirsium,arvense,,Cirsium arvense
Cirsium discolor,TRUE,FALSE,Cirsium discolor,species,Asteraceae,Cirsium,discolor,,Cirsium discolor
Cirsium sp.,TRUE,FALSE,Cirsium,genus,Asteraceae,Cirsium,sp.,,Cirsium sp.
Cladonia Lichens,TRUE,TRUE,Heptaptera,genus,Apiaceae,Heptaptera,sp.,Synonym,Heptaptera sp.
Comandra richardsiana,TRUE,FALSE,Comandra umbellata,species,Santalaceae,Comandra,umbellata,Synonym,Comandra umbellata
Comandra umbellata,TRUE,FALSE,Comandra umbellata,species,Santalaceae,Comandra,umbellata,,Comandra umbellata
Convolvulus arvensis,TRUE,FALSE,Convolvulus arvensis,species,Convolvulaceae,Convolvulus,arvensis,,Convolvulus arvensis
Conyza canadensis,TRUE,FALSE,Erigeron canadensis,species,Asteraceae,Erigeron,canadensis,Synonym,Erigeron canadensis
Coreopsis palmata,TRUE,FALSE,Coreopsis palmata,species,Asteraceae,Coreopsis,palmata,,Coreopsis palmata
Corn litter,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Cornus alternifolia,TRUE,FALSE,Cornus alternifolia,species,Cornaceae,Cornus,alternifolia,,Cornus alternifolia
Cornus racemosa,TRUE,FALSE,Cornus racemosa,species,Cornaceae,Cornus,racemosa,,Cornus racemosa
Cornus sp.,TRUE,FALSE,Cornus,genus,Cornaceae,Cornus,sp.,,Cornus sp.
Cornus stolonifera,TRUE,FALSE,Cornus sericea,species,Cornaceae,Cornus,sericea,Synonym,Cornus sericea
Corylus americanus,TRUE,TRUE,Corylus americana,species,Betulaceae,Corylus,americana,,Corylus americana
Cotyledons,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
