majorGroup,class,order,family_WFO,genus_PHY,species
A,Magnoliopsida,Asterales,Asteraceae,Doellingeria,Doellingeria umbellata
A,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus canadensis
A,Magnoliopsida,Fabales,Fabaceae,Baptisia,Baptisia alba
A,Magnoliopsida,Brassicales,Brassicaceae,Barbarea,Barbarea vulgaris
A,Magnoliopsida,Brassicales,Brassicaceae,Berteroa,Berteroa incana
A,Magnoliopsida,Fagales,Betulaceae,Betula,Betula alleghaniensis
A,Magnoliopsida,Fagales,Betulaceae,Betula,Betula papyrifera
A,Magnoliopsida,Fagales,Betulaceae,Betula,Betula pumila
A,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens cernua
A,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens coronata
A,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens tripartita
A,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua curtipendula
A,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides
A,Liliopsida,Poales,Poaceae,Bromus,Bromus ciliatus
A,Liliopsida,Poales,Poaceae,Bromus,Bromus kalmii
A,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua dactyloides
A,Liliopsida,Poales,Poaceae,Calamagrostis,Calamagrostis stricta
A,Magnoliopsida,Asterales,Campanulaceae,Palustricodon,Palustricodon aparinoides
A,Magnoliopsida,Brassicales,Brassicaceae,Capsella,Capsella bursa-pastoris
A,Liliopsida,Poales,Cyperaceae,Carex,Carex bebbii
A,Liliopsida,Poales,Cyperaceae,Carex,Carex bicknellii
A,Liliopsida,Poales,Cyperaceae,Carex,Carex canescens
A,Liliopsida,Poales,Cyperaceae,Carex,Carex echinata
A,Liliopsida,Poales,Cyperaceae,Carex,Carex chordorrhiza
A,Liliopsida,Poales,Cyperaceae,Carex,Carex comosa
A,Liliopsida,Poales,Cyperaceae,Carex,Carex diandra
A,Liliopsida,Poales,Cyperaceae,Carex,Carex disperma
A,Liliopsida,Poales,Cyperaceae,Carex,Carex foenea
A,Liliopsida,Poales,Cyperaceae,Carex,Carex gracillima
A,Liliopsida,Poales,Cyperaceae,Carex,Carex haydenii
A,Liliopsida,Poales,Cyperaceae,Carex,Carex interior
A,Liliopsida,Poales,Cyperaceae,Carex,Carex lacustris
A,Liliopsida,Poales,Cyperaceae,Carex,Carex lasiocarpa
A,Liliopsida,Poales,Cyperaceae,Carex,Carex vulpinoidea
A,Liliopsida,Poales,Cyperaceae,Carex,Carex oligosperma
A,Liliopsida,Poales,Cyperaceae,Carex,Carex pensylvanica
A,Liliopsida,Poales,Cyperaceae,Carex,Carex rostrata
A,Liliopsida,Poales,Cyperaceae,Carex,Carex scoparia
A,Liliopsida,Poales,Cyperaceae,Carex,Carex stricta
A,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista fasciculata
A,Magnoliopsida,Rosales,Rhamnaceae,Ceanothus,Ceanothus americanus
A,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus longispinus
A,Magnoliopsida,Ericales,Ericaceae,Chamaedaphne,Chamaedaphne calyculata
A,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium album
A,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodiastrum,Chenopodiastrum hybridum
A,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium leptophyllum
A,Magnoliopsida,Asterales,Asteraceae,Heterotheca,Heterotheca villosa
A,Magnoliopsida,Apiales,Apiaceae,Cicuta,Cicuta bulbifera
A,Magnoliopsida,Myrtales,Onagraceae,Circaea,Circaea lutetiana
A,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium arvense
A,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium discolor
A,Magnoliopsida,Asterales,Asteraceae,Coreopsis,Coreopsis palmata
A,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus americana
A,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis tectorum
A,Magnoliopsida,Caryophyllales,Amaranthaceae,Dysphania,Dysphania atriplicifolia
A,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus filiculmis
A,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus schweinitzii
A,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus strigosus
A,Magnoliopsida,Ranunculales,Ranunculaceae,Delphinium,Delphinium carolinianum
A,Magnoliopsida,Fabales,Fabaceae,Desmodium,Desmodium canadense
A,Magnoliopsida,Fabales,Fabaceae,Hylodesmum,Hylodesmum glutinosum
A,Liliopsida,Poales,Poaceae,Digitaria,Digitaria ischaemum
A,Liliopsida,Poales,Poaceae,Digitaria,Digitaria sanguinalis
A,Liliopsida,Poales,Cyperaceae,Dulichium,Dulichium arundinaceum
