class,order,family,genus,species
Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus sericea
Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus americana
Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis tectorum
Magnoliopsida,Caryophyllales,Amaranthaceae,Dysphania,Dysphania atriplicifolia
Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus filiculmis
Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus schweinitzii
Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus strigosus
Liliopsida,Poales,Poaceae,Danthonia,Danthonia spicata
Magnoliopsida,Ranunculales,Ranunculaceae,Delphinium,Delphinium carolinianum
Magnoliopsida,Fabales,Fabaceae,Desmodium,Desmodium canadense
Magnoliopsida,Fabales,Fabaceae,Hylodesmum,Hylodesmum glutinosum
Liliopsida,Poales,Poaceae,Digitaria,Digitaria ischaemum
Liliopsida,Poales,Poaceae,Digitaria,Digitaria sanguinalis
Liliopsida,Poales,Cyperaceae,Dulichium,Dulichium arundinaceum
Magnoliopsida,Asterales,Asteraceae,Echinacea,Echinacea purpurea
Liliopsida,Poales,Poaceae,Elymus,Elymus canadensis
Liliopsida,Poales,Poaceae,Elymus,Elymus violaceus
Magnoliopsida,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium
Magnoliopsida,Myrtales,Onagraceae,Epilobium,Epilobium ciliatum
Magnoliopsida,Myrtales,Onagraceae,Epilobium,Epilobium leptophyllum
Liliopsida,Poales,Poaceae,Eragrostis,Eragrostis spectabilis
Liliopsida,Poales,Poaceae,Eragrostis,Eragrostis trichodes
Magnoliopsida,Asterales,Asteraceae,Erechtites,Erechtites hieracifolia
Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron annuus
Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron strigosus
Magnoliopsida,Asterales,Asteraceae,Eutrochium,Eutrochium maculatum
Magnoliopsida,Asterales,Asteraceae,Eupatorium,Eupatorium perfoliatum
Magnoliopsida,Asterales,Asteraceae,Ageratina,Ageratina liebmannii
Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia corollata
Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia geyeri
Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia glyptosperma
Magnoliopsida,Asterales,Asteraceae,Euthamia,Euthamia graminifolia
Liliopsida,Poales,Poaceae,Festuca,Festuca ovina
Liliopsida,Poales,Poaceae,Festuca,Festuca guestfalica
Liliopsida,Poales,Poaceae,Festuca,Festuca rubra
Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria vesca
Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria virginiana
Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus americana
Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus nigra
Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus pennsylvanica
Magnoliopsida,Lamiales,Gesneriaceae,Seemannia,Seemannia sylvatica
Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium aparine
Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium boreale
Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium trifidum
Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium triflorum
Magnoliopsida,Gentianales,Gentianaceae,Gentiana,Gentiana andrewsii
Magnoliopsida,Geraniales,Geraniaceae,Geranium,Geranium maculatum
Magnoliopsida,Lamiales,Lamiaceae,Glechoma,Glechoma hederacea
Liliopsida,Poales,Poaceae,Glyceria,Glyceria grandis
Magnoliopsida,Asterales,Asteraceae,Gamochaeta,Gamochaeta purpurea
Magnoliopsida,Asterales,Asteraceae,Gnaphalium,Gnaphalium uliginosum
Magnoliopsida,Asterales,Asteraceae,Hieracium,Hieracium crassescens
Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera lacera
Magnoliopsida,Boraginales,Boraginaceae,Hackelia,Hackelia deflexa
Magnoliopsida,Lamiales,Lamiaceae,Hedeoma,Hedeoma hispida
Magnoliopsida,Asterales,Asteraceae,Helenium,Helenium autumnale
Magnoliopsida,Malvales,Cistaceae,Helianthemum,Helianthemum bicknellii
Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus giganteus
Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus hirsutus
Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus laetiflorus
Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus petiolaris
Magnoliopsida,Asterales,Asteraceae,Heliopsis,Heliopsis helianthoides
Magnoliopsida,Saxifragales,Saxifragaceae,Heuchera,Heuchera richardsonii
Magnoliopsida,Asterales,Asteraceae,Pilosella,Pilosella aurantiaca
Magnoliopsida,Asterales,Asteraceae,Hieracium,Hieracium umbellatum
Magnoliopsida,Asterales,Asteraceae,Hieracium,Hieracium longipilum
Liliopsida,Poales,Poaceae,Anthoxanthum,Anthoxanthum nitens
Magnoliopsida,Gentianales,Rubiaceae,Houstonia,Houstonia longifolia
Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,Hypericum majus
Liliopsida,Asparagales,Hypoxidaceae,Hypoxis,Hypoxis hirsuta
Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex verticillata
Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens capensis
Liliopsida,Asparagales,Iridaceae,Iris,Iris versicolor
Liliopsida,Poales,Juncaceae,Juncus,Juncus tenuis
Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus communis
Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus virginiana
Liliopsida,Poales,Poaceae,Koeleria,Koeleria micrathera
Magnoliopsida,Asterales,Asteraceae,Krigia,Krigia biflora
Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca biennis
Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca canadensis
Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca serriola
Pinopsida,Pinales,Pinaceae,Larix,Larix laricina
Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus ochroleucus
Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus venosus
Magnoliopsida,Malvales,Cistaceae,Lechea,Lechea stricta
Liliopsida,Poales,Poaceae,Leersia,Leersia oryzoides
Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium densiflorum
Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium virginicum
Liliopsida,Poales,Poaceae,Digitaria,Digitaria cognata
Magnoliopsida,Fabales,Fabaceae,Lespedeza,Lespedeza capitata
Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris aspera
Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris ligulistylis
Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris pycnostachya
Magnoliopsida,Lamiales,Plantaginaceae,Linaria,Linaria vulgaris
Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum canescens
Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum caroliniense
Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum carolinense
Magnoliopsida,Asterales,Campanulaceae,Lobelia,Lobelia siphilitica
Magnoliopsida,Asterales,Campanulaceae,Lobelia,Lobelia spicata
Liliopsida,Poales,Poaceae,Lolium,Lolium multiflorum
Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera dioica
Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera tatarica
Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera morrowii
Magnoliopsida,Myrtales,Onagraceae,Ludwigia,Ludwigia polycarpa
Magnoliopsida,Fabales,Fabaceae,Lupinus,Lupinus perennis
Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene latifolia
