taxon,birth,death,ccp,source
Coreopsis,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Crepis,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Doellingeria,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Echinacea,0.04151157206109838,0.031827184492837106,0.0,from Asteraceae (cherry)
Erechtites,0.04151157206109838,0.031827184492837106,0.0,from Asteraceae (unsampled)
Erigeron,0.3207108478185241,0.3207086761567239,1.0,computed
Eupatorium,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Eurybia,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Euthamia,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Eutrochium,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Gamochaeta,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Gnaphalium,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Helenium,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Helianthus,800.2188358776791,800.06819635253,0.8333333333333334,computed
Heliopsis,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Heterotheca,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Hieracium,0.04151157206109838,0.031827184492837106,0.6666666666666667,from Asteraceae (crown capture probability)
Krigia,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Lactuca,0.03920949532178393,0.0,1.0,computed
Liatris,1.0000000282819324,1.0000000272819323,1.0,computed
Nabalus,0.04151157206109838,0.031827184492837106,1.0,from Asteraceae (cherry)
Packera,0.04151157206109838,0.031827184492837106,1.0,from Asteraceae (cherry)
Pilosella,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Ratibida,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Rudbeckia,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Solidago,0.04151157206109838,0.031827184492837106,0.0,from Asteraceae (not monophyletic)
